ano,mes,data,regiao,uf,combustivel,preco_medio,preco_minimo,preco_maximo,variacao_mensal,inflacao,cotacao_petroleo,consumo_estimado,nivel_preco
2015,1,2015-01-01,Sul,PR,GLP,5.2,4.79,5.88,-2.05,9.36,92.52,43596,Médio
2015,1,2015-01-01,Sul,SC,GNV,5.17,4.76,5.85,2.8,2.32,100.96,237557,Médio
2015,1,2015-01-01,Sul,SC,GNV,3.31,3.04,3.74,1.62,5.64,102.26,194104,Baixo
2015,1,2015-01-01,Sul,RS,GNV,3.35,3.09,3.79,-1.77,11.98,77.5,32495,Médio
2015,1,2015-01-01,Sul,RS,GNV,6.87,6.32,7.76,2.05,5.47,55.6,202340,Alto
2015,2,2015-02-01,Norte,AM,Etanol,5.96,5.49,6.74,3.22,7.07,58.88,247084,Alto
2015,2,2015-02-01,Norte,PA,GLP,5.99,5.51,6.77,-5.64,2.42,67.88,97262,Médio
2015,2,2015-02-01,Norte,PA,Etanol,5.98,5.5,6.76,4.8,6.87,75.56,167242,Médio
2015,2,2015-02-01,Norte,RO,GNV,7.72,7.1,8.72,4.54,9.98,56.37,125041,Médio
2015,2,2015-02-01,Norte,TO,Diesel,6.16,5.67,6.96,-8.02,9.67,96.99,84093,Baixo
2015,2,2015-02-01,Nordeste,BA,GNV,4.12,3.79,4.66,-3.41,2.92,49.84,161530,Baixo
2015,2,2015-02-01,Nordeste,BA,GLP,7.77,7.15,8.78,3.16,11.97,62.5,6770,Baixo
2015,2,2015-02-01,Nordeste,PE,GNV,5.36,4.93,6.05,4.71,6.0,98.77,8871,Crítico
2015,2,2015-02-01,Nordeste,PE,Diesel,7.79,7.17,8.8,0.0,7.09,74.41,247610,Crítico
2015,2,2015-02-01,Nordeste,CE,GNV,5.88,5.41,6.64,-6.11,3.62,102.51,186336,Baixo
2015,2,2015-02-01,Nordeste,CE,GLP,5.54,5.1,6.26,0.06,6.43,96.76,138647,Crítico
2015,2,2015-02-01,Nordeste,MA,Etanol,4.53,4.17,5.12,-6.77,9.8,57.8,100629,Médio
2015,2,2015-02-01,Nordeste,PB,Diesel,3.55,3.27,4.01,2.56,2.61,46.46,175015,Crítico
2015,2,2015-02-01,Centro-Oeste,DF,Etanol,4.9,4.51,5.54,-0.2,10.27,88.27,44457,Baixo
2015,2,2015-02-01,Centro-Oeste,GO,Etanol,6.06,5.58,6.85,1.0,9.98,78.98,246553,Crítico
2015,2,2015-02-01,Centro-Oeste,GO,GNV,6.46,5.94,7.3,2.2,4.08,101.24,36606,Alto
2015,2,2015-02-01,Centro-Oeste,MT,Gasolina,3.41,3.13,3.85,-0.58,7.33,92.19,189195,Alto
2015,2,2015-02-01,Centro-Oeste,MS,GLP,4.72,4.35,5.34,-7.52,6.12,88.35,34712,Médio
2015,2,2015-02-01,Sudeste,SP,Etanol,5.75,5.29,6.5,4.41,4.97,89.17,23887,Crítico
2015,2,2015-02-01,Sudeste,SP,Gasolina,3.3,3.04,3.73,1.2,9.78,76.18,125940,Crítico
2015,2,2015-02-01,Sudeste,SP,Gasolina,7.79,7.17,8.81,-1.44,2.16,109.81,158105,Alto
2015,2,2015-02-01,Sudeste,RJ,Gasolina,3.71,3.41,4.19,-1.75,5.2,83.0,41255,Crítico
2015,2,2015-02-01,Sudeste,RJ,Diesel,7.89,7.26,8.92,-2.51,11.92,104.13,143778,Crítico
2015,2,2015-02-01,Sudeste,RJ,Gasolina,3.37,3.1,3.8,1.05,7.54,89.85,35592,Crítico
2015,2,2015-02-01,Sudeste,RJ,Etanol,4.36,4.01,4.92,1.15,8.8,61.14,83997,Alto
2015,2,2015-02-01,Sudeste,MG,GNV,5.01,4.61,5.66,-0.53,2.59,109.88,71976,Baixo
2015,2,2015-02-01,Sudeste,MG,Gasolina,7.4,6.81,8.36,-3.28,3.1,58.14,202429,Médio
2015,2,2015-02-01,Sudeste,MG,GNV,6.1,5.61,6.89,7.95,6.07,53.38,125916,Baixo
2015,2,2015-02-01,Sudeste,ES,GLP,3.4,3.13,3.84,4.62,7.64,48.1,18921,Médio
2015,2,2015-02-01,Sudeste,ES,Etanol,4.3,3.96,4.86,-4.01,11.49,106.49,76331,Crítico
2015,2,2015-02-01,Sudeste,ES,GLP,3.47,3.19,3.92,1.4,7.23,88.99,78109,Crítico
2015,2,2015-02-01,Sul,PR,GLP,5.33,4.91,6.03,5.02,11.36,98.39,221550,Alto
2015,2,2015-02-01,Sul,PR,Diesel,7.98,7.34,9.02,1.68,5.62,107.78,52789,Baixo
2015,2,2015-02-01,Sul,SC,GNV,7.36,6.78,8.32,3.26,9.42,104.45,56170,Crítico
2015,2,2015-02-01,Sul,SC,Gasolina,6.65,6.12,7.51,8.88,6.83,86.83,5717,Crítico
2015,2,2015-02-01,Sul,RS,Gasolina,3.98,3.66,4.49,3.54,3.6,63.66,177417,Alto
2015,2,2015-02-01,Sul,RS,Etanol,5.75,5.29,6.5,-3.64,6.89,104.45,210853,Crítico
2015,3,2015-03-01,Norte,AM,GLP,6.73,6.19,7.6,-1.98,3.11,102.1,27384,Crítico
2015,3,2015-03-01,Norte,PA,Diesel,5.19,4.77,5.86,-5.57,7.35,67.66,247680,Médio
2015,3,2015-03-01,Norte,PA,Diesel,5.9,5.43,6.66,3.43,7.31,45.81,224195,Médio
2015,3,2015-03-01,Norte,RO,Gasolina,4.56,4.2,5.15,11.92,9.42,68.88,132056,Alto
2015,3,2015-03-01,Norte,TO,GLP,6.41,5.89,7.24,-1.95,3.38,75.69,164314,Crítico
2015,3,2015-03-01,Nordeste,BA,GNV,4.15,3.82,4.69,1.91,7.72,54.54,147130,Médio
2015,3,2015-03-01,Nordeste,BA,GNV,4.02,3.69,4.54,2.09,4.1,104.18,196925,Médio
2015,3,2015-03-01,Nordeste,PE,Gasolina,3.52,3.23,3.97,1.55,9.7,60.63,242406,Crítico
2015,3,2015-03-01,Nordeste,PE,Gasolina,6.45,5.93,7.29,2.47,11.83,78.65,10952,Baixo
2015,3,2015-03-01,Nordeste,CE,GNV,3.87,3.56,4.38,4.44,7.74,84.22,122145,Baixo
2015,3,2015-03-01,Nordeste,CE,Etanol,3.04,2.8,3.43,-4.22,5.7,51.47,139839,Médio
2015,3,2015-03-01,Nordeste,MA,Gasolina,3.75,3.45,4.23,1.35,10.68,90.8,95937,Crítico
2015,3,2015-03-01,Nordeste,PB,Etanol,3.0,2.76,3.39,10.37,7.31,104.82,106250,Alto
2015,3,2015-03-01,Centro-Oeste,DF,GNV,3.48,3.2,3.94,0.69,2.95,64.01,101825,Alto
2015,3,2015-03-01,Centro-Oeste,GO,GNV,4.41,4.06,4.98,2.62,5.14,52.05,31810,Baixo
2015,3,2015-03-01,Centro-Oeste,GO,GNV,3.34,3.07,3.77,-2.62,7.46,60.39,202065,Crítico
2015,3,2015-03-01,Centro-Oeste,MT,GNV,5.93,5.46,6.7,13.74,9.0,109.56,13585,Médio
2015,3,2015-03-01,Centro-Oeste,MS,GLP,6.1,5.61,6.89,7.82,3.73,75.33,148407,Baixo
2015,3,2015-03-01,Sudeste,SP,Diesel,5.86,5.39,6.62,3.4,4.71,109.57,23749,Crítico
2015,3,2015-03-01,Sudeste,SP,Etanol,3.49,3.21,3.95,7.55,6.14,88.29,99280,Baixo
2015,3,2015-03-01,Sudeste,SP,GNV,4.62,4.25,5.22,2.08,8.95,46.58,153792,Médio
2015,3,2015-03-01,Sudeste,RJ,GLP,7.96,7.33,9.0,-1.93,10.04,89.83,81514,Alto
2015,3,2015-03-01,Sudeste,RJ,GNV,6.81,6.27,7.7,0.75,9.71,73.29,136399,Alto
2015,3,2015-03-01,Sudeste,RJ,Etanol,7.51,6.91,8.49,-0.78,7.11,87.83,24073,Crítico
2015,3,2015-03-01,Sudeste,RJ,Diesel,4.76,4.38,5.38,0.31,11.07,105.65,143765,Crítico
2015,3,2015-03-01,Sudeste,MG,Diesel,5.93,5.45,6.7,-1.2,9.48,60.01,236377,Crítico
2015,3,2015-03-01,Sudeste,MG,Etanol,3.25,2.99,3.67,-0.46,9.34,108.64,6138,Crítico
2015,3,2015-03-01,Sudeste,MG,GNV,3.19,2.94,3.61,-4.8,10.69,91.97,186647,Crítico
2015,3,2015-03-01,Sudeste,ES,GLP,4.4,4.04,4.97,-6.07,8.09,89.11,52594,Baixo
2015,3,2015-03-01,Sudeste,ES,Gasolina,4.71,4.33,5.32,-7.29,6.15,77.51,65211,Crítico
2015,3,2015-03-01,Sudeste,ES,Diesel,6.27,5.77,7.09,-2.98,6.48,53.63,85063,Baixo
2015,3,2015-03-01,Sul,PR,GNV,6.1,5.61,6.89,-4.97,9.01,104.14,230468,Alto
2015,3,2015-03-01,Sul,PR,Diesel,6.35,5.84,7.18,7.63,3.26,84.38,164979,Baixo
2015,3,2015-03-01,Sul,SC,Diesel,7.4,6.81,8.37,-3.96,2.99,71.02,165173,Médio
2015,3,2015-03-01,Sul,SC,Etanol,6.48,5.97,7.33,1.49,3.85,86.14,88426,Baixo
2015,3,2015-03-01,Sul,RS,Etanol,3.31,3.04,3.74,3.17,11.02,56.93,101389,Médio
2015,3,2015-03-01,Sul,RS,Etanol,3.22,2.96,3.63,1.32,9.23,81.12,227943,Crítico
2015,4,2015-04-01,Norte,AM,Etanol,6.12,5.63,6.91,-1.77,7.44,86.13,178566,Crítico
2015,4,2015-04-01,Norte,PA,GLP,6.38,5.87,7.21,1.28,9.23,100.47,85123,Crítico
2015,4,2015-04-01,Norte,PA,GNV,3.76,3.46,4.25,2.14,9.08,106.56,246252,Baixo
2015,4,2015-04-01,Norte,RO,GNV,3.23,2.97,3.65,-9.7,3.69,86.39,95947,Baixo
2015,4,2015-04-01,Norte,TO,GLP,5.32,4.89,6.01,-1.72,8.34,54.35,178577,Médio
2015,4,2015-04-01,Nordeste,BA,Diesel,5.9,5.43,6.67,-1.39,5.4,102.91,69385,Baixo
2015,4,2015-04-01,Nordeste,BA,GLP,5.49,5.05,6.2,-0.49,2.38,60.16,48666,Crítico
2015,4,2015-04-01,Nordeste,PE,Diesel,3.82,3.52,4.32,4.37,9.09,87.81,191166,Baixo
2015,4,2015-04-01,Nordeste,PE,Etanol,3.23,2.97,3.65,2.27,8.94,75.16,35723,Crítico
2015,4,2015-04-01,Nordeste,CE,GNV,5.43,5.0,6.14,2.78,2.58,50.47,108972,Alto
2015,4,2015-04-01,Nordeste,CE,Diesel,5.98,5.51,6.76,0.16,2.46,66.61,54898,Baixo
2015,4,2015-04-01,Nordeste,MA,GLP,4.77,4.39,5.4,-3.25,10.54,84.94,140946,Crítico
2015,4,2015-04-01,Nordeste,PB,GNV,5.57,5.13,6.3,2.67,4.53,64.76,106051,Alto
2015,4,2015-04-01,Centro-Oeste,DF,GNV,3.89,3.58,4.39,-1.82,3.48,75.21,196450,Baixo
2015,4,2015-04-01,Centro-Oeste,GO,GNV,5.0,4.6,5.65,5.38,4.09,51.62,57074,Crítico
2015,4,2015-04-01,Centro-Oeste,GO,Gasolina,6.99,6.43,7.9,0.15,9.71,107.22,135335,Baixo
2015,4,2015-04-01,Centro-Oeste,MT,GLP,5.23,4.81,5.91,6.64,10.94,107.0,174751,Alto
2015,4,2015-04-01,Centro-Oeste,MS,Diesel,3.49,3.21,3.94,3.34,6.31,89.88,29188,Crítico
2015,4,2015-04-01,Sudeste,SP,Etanol,6.94,6.38,7.84,5.74,10.94,103.3,171539,Baixo
2015,4,2015-04-01,Sudeste,SP,GLP,4.32,3.98,4.88,-1.77,6.58,87.35,215999,Médio
2015,4,2015-04-01,Sudeste,SP,Diesel,5.51,5.07,6.22,7.35,9.01,49.0,106870,Baixo
2015,4,2015-04-01,Sudeste,RJ,Gasolina,6.2,5.7,7.01,-1.55,9.22,79.34,221283,Crítico
2015,4,2015-04-01,Sudeste,RJ,Diesel,7.61,7.0,8.6,-5.06,3.33,91.17,24164,Baixo
2015,4,2015-04-01,Sudeste,RJ,Diesel,5.49,5.06,6.21,1.06,4.46,52.14,28272,Médio
2015,4,2015-04-01,Sudeste,RJ,Diesel,4.98,4.58,5.63,1.0,4.73,84.44,32255,Médio
2015,4,2015-04-01,Sudeste,MG,Diesel,4.47,4.11,5.05,0.62,8.79,65.84,103784,Médio
2015,4,2015-04-01,Sudeste,MG,Diesel,3.58,3.3,4.05,4.24,10.7,59.31,52291,Baixo
2015,4,2015-04-01,Sudeste,MG,Diesel,3.91,3.6,4.42,-1.97,2.77,72.61,144200,Crítico
2015,4,2015-04-01,Sudeste,ES,Etanol,7.92,7.28,8.95,-1.77,10.93,92.02,22388,Baixo
2015,4,2015-04-01,Sudeste,ES,GNV,4.35,4.0,4.92,7.66,7.07,109.78,53401,Alto
2015,4,2015-04-01,Sudeste,ES,GLP,5.26,4.84,5.95,3.63,3.7,63.8,49527,Médio
2015,4,2015-04-01,Sul,PR,GLP,6.12,5.63,6.92,-2.07,7.4,51.5,171204,Crítico
2015,4,2015-04-01,Sul,PR,GLP,4.14,3.81,4.68,-6.24,7.29,62.29,120197,Crítico
2015,4,2015-04-01,Sul,SC,Gasolina,3.71,3.41,4.19,1.16,6.2,81.99,226749,Alto
2015,4,2015-04-01,Sul,SC,GNV,6.29,5.79,7.11,10.5,5.93,59.66,193106,Baixo
2015,4,2015-04-01,Sul,RS,Gasolina,4.28,3.94,4.84,0.43,10.69,96.94,62394,Crítico
2015,4,2015-04-01,Sul,RS,Diesel,5.49,5.05,6.2,4.1,8.05,104.1,11601,Baixo
2015,5,2015-05-01,Norte,AM,GLP,6.41,5.9,7.25,0.96,3.51,101.9,171270,Crítico
2015,5,2015-05-01,Norte,PA,Etanol,7.92,7.29,8.95,-0.46,3.13,49.95,189451,Crítico
2015,5,2015-05-01,Norte,PA,Etanol,7.88,7.25,8.91,-3.72,8.72,74.33,79463,Alto
2015,5,2015-05-01,Norte,RO,Diesel,6.69,6.15,7.56,-2.14,7.6,66.27,119268,Crítico
2015,5,2015-05-01,Norte,TO,GLP,6.61,6.08,7.47,4.16,9.37,53.11,142497,Médio
2015,5,2015-05-01,Nordeste,BA,GLP,5.23,4.81,5.91,-0.91,6.87,63.83,190794,Alto
2015,5,2015-05-01,Nordeste,BA,Etanol,7.29,6.71,8.24,-4.68,4.28,73.03,220139,Médio
2015,5,2015-05-01,Nordeste,PE,Diesel,6.85,6.3,7.74,4.51,7.43,56.52,26622,Alto
2015,5,2015-05-01,Nordeste,PE,Gasolina,4.04,3.71,4.56,5.65,10.07,91.85,214480,Crítico
2015,5,2015-05-01,Nordeste,CE,GLP,6.68,6.15,7.55,-7.0,6.24,104.75,248184,Médio
2015,5,2015-05-01,Nordeste,CE,Gasolina,4.94,4.55,5.59,-1.44,10.04,95.88,70646,Baixo
2015,5,2015-05-01,Nordeste,MA,Gasolina,5.14,4.73,5.81,3.59,10.26,89.16,107834,Crítico
2015,5,2015-05-01,Nordeste,PB,Diesel,5.11,4.7,5.78,-1.18,6.76,67.96,98101,Alto
2015,5,2015-05-01,Centro-Oeste,DF,GNV,5.08,4.67,5.74,3.81,7.1,104.85,199817,Baixo
2015,5,2015-05-01,Centro-Oeste,GO,GLP,4.19,3.86,4.74,0.41,8.4,96.02,54244,Crítico
2015,5,2015-05-01,Centro-Oeste,GO,Diesel,7.08,6.52,8.01,0.78,6.11,85.09,109737,Médio
2015,5,2015-05-01,Centro-Oeste,MT,Gasolina,7.67,7.06,8.67,0.76,3.09,53.95,141164,Baixo
2015,5,2015-05-01,Centro-Oeste,MS,Gasolina,4.33,3.98,4.89,-4.36,11.59,99.38,177701,Crítico
2015,5,2015-05-01,Sudeste,SP,GNV,5.24,4.82,5.92,-0.18,4.41,83.18,65229,Alto
2015,5,2015-05-01,Sudeste,SP,Diesel,5.44,5.0,6.14,-1.11,7.1,103.83,247180,Baixo
2015,5,2015-05-01,Sudeste,SP,GNV,6.44,5.92,7.28,3.65,5.74,90.67,74926,Alto
2015,5,2015-05-01,Sudeste,RJ,GNV,7.11,6.54,8.04,-7.4,7.06,59.77,16132,Baixo
2015,5,2015-05-01,Sudeste,RJ,Etanol,3.2,2.94,3.62,1.49,3.54,95.63,40574,Médio
2015,5,2015-05-01,Sudeste,RJ,GNV,7.38,6.79,8.34,0.72,11.22,102.58,111652,Crítico
2015,5,2015-05-01,Sudeste,RJ,GNV,5.82,5.36,6.58,-3.59,11.34,99.33,191684,Médio
2015,5,2015-05-01,Sudeste,MG,Etanol,3.33,3.06,3.76,-6.53,10.63,78.03,89327,Baixo
2015,5,2015-05-01,Sudeste,MG,Gasolina,3.47,3.19,3.92,-1.12,4.23,105.42,249325,Baixo
2015,5,2015-05-01,Sudeste,MG,Gasolina,7.84,7.21,8.86,6.73,9.61,90.13,212742,Alto
2015,5,2015-05-01,Sudeste,ES,Etanol,7.76,7.14,8.77,4.72,9.12,63.53,153282,Alto
2015,5,2015-05-01,Sudeste,ES,GNV,4.78,4.4,5.4,1.81,9.23,101.7,118465,Crítico
2015,5,2015-05-01,Sudeste,ES,GLP,5.49,5.05,6.2,0.48,4.24,79.92,238466,Alto
2015,5,2015-05-01,Sul,PR,Gasolina,7.15,6.57,8.07,-1.07,7.74,102.8,116151,Baixo
2015,5,2015-05-01,Sul,PR,Diesel,6.93,6.37,7.83,3.37,10.47,77.0,226386,Baixo
2015,5,2015-05-01,Sul,SC,Gasolina,4.79,4.4,5.41,2.7,11.03,90.84,43941,Crítico
2015,5,2015-05-01,Sul,SC,GNV,6.06,5.57,6.85,-1.31,5.75,95.98,114002,Alto
2015,5,2015-05-01,Sul,RS,Etanol,7.76,7.14,8.77,-3.31,11.85,74.51,170308,Alto
2015,5,2015-05-01,Sul,RS,Etanol,6.79,6.25,7.67,-8.64,9.62,90.42,86019,Alto
2015,6,2015-06-01,Norte,AM,Etanol,4.21,3.87,4.76,4.26,6.84,56.44,145079,Alto
2015,6,2015-06-01,Norte,PA,Etanol,7.26,6.68,8.2,6.14,7.33,109.39,55020,Médio
2015,6,2015-06-01,Norte,PA,Diesel,5.59,5.14,6.31,-1.14,4.25,99.38,90088,Crítico
2015,6,2015-06-01,Norte,RO,GNV,5.04,4.64,5.7,6.45,8.79,88.38,14017,Alto
2015,6,2015-06-01,Norte,TO,Gasolina,3.23,2.97,3.65,-0.19,9.89,51.04,8261,Alto
2015,6,2015-06-01,Nordeste,BA,GNV,5.4,4.97,6.1,2.79,3.83,74.41,176929,Médio
2015,6,2015-06-01,Nordeste,BA,GNV,6.6,6.07,7.46,-4.83,6.76,64.65,26730,Crítico
2015,6,2015-06-01,Nordeste,PE,Diesel,3.57,3.29,4.04,2.8,10.9,72.5,25109,Crítico
2015,6,2015-06-01,Nordeste,PE,GNV,6.83,6.29,7.72,2.22,11.15,46.4,228282,Crítico
2015,6,2015-06-01,Nordeste,CE,Gasolina,6.48,5.96,7.32,5.0,10.54,92.63,177522,Crítico
2015,6,2015-06-01,Nordeste,CE,Diesel,5.32,4.89,6.01,4.34,7.37,72.8,187611,Baixo
2015,6,2015-06-01,Nordeste,MA,GLP,6.6,6.07,7.45,-6.93,7.39,69.04,238360,Crítico
2015,6,2015-06-01,Nordeste,PB,GNV,4.85,4.46,5.48,-1.7,3.92,109.21,145226,Alto
2015,6,2015-06-01,Centro-Oeste,DF,Gasolina,6.59,6.06,7.45,-2.96,4.95,82.43,126730,Crítico
2015,6,2015-06-01,Centro-Oeste,GO,Gasolina,4.73,4.35,5.35,-6.21,2.77,90.28,150327,Médio
2015,6,2015-06-01,Centro-Oeste,GO,Gasolina,7.15,6.58,8.08,0.4,11.8,59.49,8439,Baixo
2015,6,2015-06-01,Centro-Oeste,MT,GNV,4.1,3.77,4.64,-3.26,5.66,98.26,165518,Baixo
2015,6,2015-06-01,Centro-Oeste,MS,GNV,5.32,4.89,6.01,-2.45,7.24,85.12,64565,Médio
2015,6,2015-06-01,Sudeste,SP,Diesel,4.07,3.75,4.6,0.23,2.04,104.74,164484,Médio
2015,6,2015-06-01,Sudeste,SP,Gasolina,7.31,6.73,8.26,4.07,10.95,75.63,222395,Crítico
2015,6,2015-06-01,Sudeste,SP,Gasolina,6.47,5.95,7.31,1.05,3.25,95.81,224993,Médio
2015,6,2015-06-01,Sudeste,RJ,Diesel,7.22,6.64,8.16,3.11,8.07,89.27,112879,Médio
2015,6,2015-06-01,Sudeste,RJ,Etanol,3.31,3.05,3.74,-2.45,8.33,109.52,60370,Médio
2015,6,2015-06-01,Sudeste,RJ,Etanol,6.97,6.42,7.88,0.82,9.07,46.34,97592,Baixo
2015,6,2015-06-01,Sudeste,RJ,Etanol,7.63,7.02,8.63,0.36,8.27,47.97,16581,Baixo
2015,6,2015-06-01,Sudeste,MG,GLP,5.75,5.29,6.5,3.2,4.12,101.4,234512,Baixo
2015,6,2015-06-01,Sudeste,MG,GNV,5.43,5.0,6.14,-0.74,10.95,71.59,86227,Alto
2015,6,2015-06-01,Sudeste,MG,Etanol,6.51,5.98,7.35,1.0,9.4,65.16,236398,Baixo
2015,6,2015-06-01,Sudeste,ES,Etanol,7.47,6.88,8.45,0.82,4.41,100.96,69170,Crítico
2015,6,2015-06-01,Sudeste,ES,Diesel,7.76,7.13,8.76,1.21,3.97,95.91,32775,Médio
2015,6,2015-06-01,Sudeste,ES,GLP,3.65,3.36,4.12,-1.76,6.37,56.4,118653,Médio
2015,6,2015-06-01,Sul,PR,Diesel,6.7,6.16,7.57,0.37,4.2,101.78,233895,Baixo
2015,6,2015-06-01,Sul,PR,GNV,6.91,6.36,7.81,3.02,4.48,109.28,198054,Crítico
2015,6,2015-06-01,Sul,SC,Etanol,3.76,3.46,4.24,-1.81,2.48,80.88,177076,Baixo
2015,6,2015-06-01,Sul,SC,GNV,7.97,7.33,9.01,-0.44,7.97,89.91,102047,Baixo
2015,6,2015-06-01,Sul,RS,Diesel,4.72,4.35,5.34,-2.98,8.98,106.18,248151,Alto
2015,6,2015-06-01,Sul,RS,GNV,7.14,6.56,8.06,3.94,6.26,64.62,196257,Baixo
2015,7,2015-07-01,Norte,AM,Diesel,3.2,2.95,3.62,-0.14,5.88,106.25,25830,Baixo
2015,7,2015-07-01,Norte,PA,GLP,6.17,5.67,6.97,-0.72,10.61,76.0,97431,Alto
2015,7,2015-07-01,Norte,PA,GNV,4.14,3.8,4.67,6.09,7.84,103.08,30302,Médio
2015,7,2015-07-01,Norte,RO,Diesel,5.64,5.18,6.37,5.07,9.87,46.31,153882,Crítico
2015,7,2015-07-01,Norte,TO,GLP,5.61,5.16,6.34,-4.93,2.43,67.2,229889,Baixo
2015,7,2015-07-01,Nordeste,BA,Gasolina,6.02,5.54,6.81,9.24,5.46,62.27,133619,Baixo
2015,7,2015-07-01,Nordeste,BA,GNV,4.62,4.25,5.22,2.04,6.41,80.38,49861,Baixo
2015,7,2015-07-01,Nordeste,PE,Gasolina,5.94,5.47,6.72,0.91,11.4,56.3,28683,Médio
2015,7,2015-07-01,Nordeste,PE,Etanol,5.81,5.34,6.56,3.15,9.46,96.32,88600,Baixo
2015,7,2015-07-01,Nordeste,CE,Diesel,7.6,7.0,8.59,4.14,4.58,94.02,86271,Alto
2015,7,2015-07-01,Nordeste,CE,Etanol,4.73,4.35,5.34,-9.18,8.93,101.61,90746,Médio
2015,7,2015-07-01,Nordeste,MA,Etanol,5.7,5.24,6.44,0.72,9.01,64.3,79881,Médio
2015,7,2015-07-01,Nordeste,PB,Diesel,6.73,6.19,7.6,3.31,11.72,74.9,109791,Médio
2015,7,2015-07-01,Centro-Oeste,DF,Gasolina,7.45,6.86,8.42,6.08,9.4,65.84,88364,Baixo
2015,7,2015-07-01,Centro-Oeste,GO,GNV,6.79,6.24,7.67,-8.16,11.18,84.91,86404,Médio
2015,7,2015-07-01,Centro-Oeste,GO,GLP,5.09,4.68,5.75,4.74,4.41,57.22,246531,Baixo
2015,7,2015-07-01,Centro-Oeste,MT,Gasolina,4.78,4.39,5.4,6.88,5.68,82.87,55595,Alto
